Government Local_authorities Employer Friends_family Self

9	12	7	15	20
-9	1	20	38	49
33	52	57	31	22
-5	5	45	45	24
-50	-63	39	24	2
3	-4	12	1	8
25	0	0	5	0
2	-3	13	20	28
8	1	-66	5	8
25	20	-100	0	-25
24	17	23	14	10
-5	0	-3	3	-2
1	-8	2	-1	9
5	7	-5	10	14
-22	-19	-32	-29	-9
6	7	-7	9	10
-12	-1	29	-1	22
4	-3	38	39	42
14	-6	25	70	80
25	20	1	-20	10
-37	-20	-24	0	-14
0	-2	-2	-1	2
-14	47	-25	-74	13
-12	1	28	15	0
-15	-11	-4	-9	3
20	20	-20	-10	10
5	-10	-3	42	15
4	-2	5	10	-5
0	0	-14	9	-14
0	0	0	0	0
-5	-4	26	-15	-4
-1	-5	4	-5	-21
2	11	3	38	44
2	2	5	6	4
14	14	24	5	9
-56	-18	-21	-63	-1
0	0	30	10	40
-9	-7	-1	8	6
0	0	30	0	0
0	2	20	26	29
-12	-13	46	28	8
0	-7	35	35	30
-6	-2	-33	7	1
11	-1	7	1	0
45	-35	28	-20	28
-3	-5	-13	27	6
11	11	20	10	10
28	18	16	31	34
0	7	-56	-2	51
2	7	2	-2	1
-5	17	-16	-1	14
-8	-12	-12	-15	4
20	6	7	10	1
25	36	-11	19	20
-51	-42	-70	-72	-32
-7	-11	13	-1	11
-4	-3	20	31	29
1	4	10	10	12
15	20	-25	5	-17
16	16	11	9	8
1	-6	16	11	50
1	4	12	-3	10
2	-1	18	-9	23
3	-1	-5	-10	1
-30	-44	-33	-56	-66
-1	-2	34	17	8
3	8	20	35	0
25	25	25	27	0
7	6	2	0	0
0	0	20	10	15
-10	-1	-3	3	-2
-2	6	-9	-28	-12
8	6	45	3	24
20	2	-12	65	67
0	10	13	23	18
12	13	66	49	43
16	8	6	45	34
3	17	-13	24	-16
-1	-28	8	0	70
7	5	10	-1	8
4	5	8	9	0
3	0	8	10	2
1	4	18	7	25
-2	2	3	9	13
2	7	16	19	20
1	1	7	9	5
14	7	-4	-21	-37
24	26	-5	-16	-2
5	0	35	15	5
15	10	50	50	60
0	0	25	-10	25
-17	-10	-23	21	8
-35	-40	13	14	14
9	4	-6	7	5
0	0	25	10	5
20	20	10	65	40
2	10	-12	10	-40
6	8	16	0	-10
0	0	0	17	17
-4	-3	-18	-26	23
0	0	0	0	0
7	5	-7	4	-8
15	18	19	-1	18
6	29	-12	9	12
20	0	30	10	9
-13	-13	-4	9	-2
-7	-5	-13	-24	-31
15	15	20	5	5
-10	-11	-26	2	6
-10	-4	-21	3	19
5	-1	33	11	14
5	10	31	16	8
-31	-51	55	37	36
-8	-7	-13	9	6
14	14	10	18	65
-3	-3	8	10	-18
8	-8	-9	15	8
33	32	-42	14	-18
-7	-5	-15	-10	15
4	-8	16	13	6
0	0	10	0	8
-15	5	-20	30	0
5	19	67	10	20
8	9	29	0	-4
1	-13	11	13	0
0	0	45	5	5
0	2	2	3	-1
77	76	-3	15	1
14	15	24	48	39
-1	0	17	-7	4
-50	-51	49	49	46
17	13	-19	4	20
-2	-1	5	10	6
-10	-9	30	30	30
27	22	-72	21	21
-25	-17	5	10	14
-2	-2	26	22	-1
-11	0	41	5	3
13	19	9	7	1
20	-10	-60	0	0
0	0	9	5	11
0	-9	49	20	29
-16	-6	-3	5	2
-30	-33	10	5	-11
-33	-12	28	-9	-4
0	0	-1	-1	16
-72	-74	-14	14	2
-8	13	13	7	-7
3	3	3	2	8
-13	11	-6	0	9
-15	-16	0	3	12
0	-14	0	1	1
12	11	-2	10	10
5	-8	-2	1	-35
-32	-20	54	11	31
0	0	5	8	5
-5	-6	-7	47	11
-5	-5	-1	1	5
-2	-6	8	19	14
-15	-15	0	40	40
-9	-9	28	7	22
-19	17	46	-3	9
3	10	-39	-15	47
-17	-5	-2	4	-10
54	-23	-16	18	-5
-38	-1	-29	32	60
-11	-4	-1	23	24
-1	4	-23	-8	0
17	4	29	29	32
-1	6	-17	5	27
1	4	15	0	-11
1	-1	-2	0	-1
-10	-10	0	30	30
0	13	10	0	-3
-5	-2	10	0	0
-44	-36	-34	10	1
-20	13	38	24	24
1	3	0	25	31
20	10	10	0	0
8	8	48	-4	9
-3	-9	27	7	3
-24	12	-24	38	42
-4	7	23	-3	-2
9	16	44	33	29
-4	14	-16	-6	-10
2	3	-8	-14	-10
11	9	6	-1	3
-6	5	-14	-6	-6
-3	-11	10	-9	12
25	-46	29	26	-9
-20	-9	-74	15	3
-46	-45	-47	-21	0
-20	0	15	-10	-10
-4	3	-13	18	17
17	31	28	7	6
19	6	-64	13	16
-3	-4	5	17	15
34	6	9	11	12
-7	-14	30	14	28
9	12	28	11	5
-3	-2	-4	3	0
-22	-14	-40	3	0
0	-78	-16	2	-16
4	-19	0	28	33
-22	51	53	1	0
11	13	39	17	40
-7	-7	-24	-5	-4
-2	-1	-3	-13	-10
-46	-1	29	-1	2
-13	-15	-10	20	23
-25	0	0	0	5
-12	-11	-11	-3	-1
5	0	-3	0	37
-20	-25	-37	4	-13
2	25	5	-10	5
8	-8	17	0	10
0	44	-9	35	20
-3	-2	-9	7	5
-11	-9	3	5	1
21	18	31	-1	-6
8	10	-50	16	10
-25	-10	10	15	10
-18	-12	29	21	24
-18	-8	0	-14	5
0	0	40	28	12
0	0	-54	22	22
