1005,1,26,2,1,1,7,18,31,52,92,31,60,76,96,96,87,90,71,95,71,22,70,92,61,71,40,87,36,26,45,51,45,16,32,81,2,81,3,17,6,35,14,70,50,56,31,26,41,83,76,70,62,31,68,1,1,1,3,2,3,5,16,3,10,21,78,3,6,14,31,4,4,21,92,9,25,47,96,92,98,71,40,74,40,50,69,79,87,1,1,1,1,2,1,1,2,1,1,3,4,5,3,26,46,71,14,10,54,81,71,91,26,12,71,76,92,31,89,60,91,77,62,40,62,70,65,34,62,60,71,86,58,31,66,76,80,92,72,56,71,21,66,76,1,81,78,35,70,75,11,72,92,41,85,96,11,86,91,41,71,92,27,56,67,20,76,16,31,43,31,62,15,26,21,15,31,62,73,45,57,101,82,73,85,62,76,92,67,25,56,49,65,101,73,55,84,64,71,92,66,21,71,11,59,11,1,85,85,35,60,23,13,2,3,6,2,1,6,1,2,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,3,3,1,2,1,1,1,1,1,1,1,4,2,3,41,61,7,11,45,72,58,129,91,172,120,60,96,91,69,102,22,1145,1,0,15,15,0,0,1
1008,1,31,2,1,1,7,11,16,18,18,13,14,18,19,54,79,82,74,83,65,1,71,101,97,89,69,90,68,81,101,90,69,47,46,85,8,87,11,80,76,77,75,51,54,10,34,1,30,73,71,45,41,21,32,5,13,17,28,2,4,5,11,5,3,9,18,7,7,10,22,7,7,93,24,5,4,4,37,1,1,1,1,19,1,1,37,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,5,49,61,70,37,34,76,101,101,101,85,57,54,44,76,85,89,101,49,34,53,73,62,85,51,16,78,72,20,21,26,26,23,23,65,66,20,14,34,12,54,56,56,74,76,47,83,82,82,55,50,49,75,46,81,79,84,76,74,77,86,48,62,45,64,75,73,75,50,60,72,71,68,62,55,52,68,94,97,101,76,36,51,51,81,101,56,26,48,89,89,101,90,57,62,54,39,101,59,30,58,87,95,88,63,9,29,40,73,44,32,3,5,5,6,1,5,8,6,6,6,1,6,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,3,2,3,71,41,49,12,51,43,47,112,58,87,84,34,55,88,49,67,24,860,1,0,15,15,0,0,1
1009,1,26,1,1,1,5,51,51,76,101,30,28,48,78,39,22,62,56,65,26,14,27,44,35,25,42,24,40,22,46,31,34,27,54,64,41,55,16,47,56,57,73,45,34,24,55,81,42,62,56,70,67,81,70,42,45,31,51,19,26,31,50,7,20,35,56,31,50,45,47,35,39,21,53,35,14,22,12,84,68,74,48,62,32,42,53,74,65,1,1,2,2,2,1,1,2,1,2,1,2,1,4,53,23,34,14,30,32,29,53,39,53,50,49,1,4,1,1,1,35,70,59,26,38,7,60,23,40,39,24,57,30,51,74,17,37,16,68,25,54,65,32,69,45,56,28,33,28,68,68,1,1,1,15,1,29,80,86,50,19,53,86,49,57,50,24,30,20,51,29,32,24,59,58,31,56,37,29,57,36,31,25,51,37,24,62,40,68,40,31,65,26,85,26,31,35,31,71,39,65,1,54,4,24,31,19,16,37,25,23,9,46,1,2,1,3,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,3,4,2,1,3,1,1,1,1,1,2,3,3,63,81,13,1,46,62,42,135,119,110,25,10,22,103,134,92,26,940,1,0,15,15,0,0,1
1010,1,39,1,1,1,6,11,41,56,11,31,61,76,46,101,56,71,31,101,46,81,66,101,101,86,61,101,41,61,41,61,81,1,6,76,26,76,26,6,6,6,6,96,36,1,36,36,36,86,76,61,61,61,61,1,1,1,1,11,16,21,31,6,10,16,30,16,21,26,36,6,6,11,26,11,16,26,36,101,101,51,101,101,101,1,101,101,101,1,1,1,1,1,2,1,2,1,2,1,1,3,3,81,16,5,5,5,5,81,66,16,11,11,11,101,101,1,91,101,81,56,41,41,41,21,16,31,31,31,31,46,1,31,31,1,31,1,1,61,26,1,16,1,56,81,91,36,91,71,71,71,61,1,31,21,31,81,91,36,61,46,71,36,51,61,61,76,66,101,56,91,76,66,46,46,71,86,101,101,101,1,101,46,66,66,81,81,71,1,1,1,1,1,1,1,1,1,1,1,1,61,41,1,1,1,1,76,91,11,1,1,1,6,2,1,1,1,1,6,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,2,2,3,1,1,3,3,2,41,86,8,14,65,73,81,144,137,194,135,78,84,67,67,91,30,1268,1,0,15,15,0,0,1
1011,1,18,2,1,1,3,21,81,101,101,51,76,101,101,96,31,101,61,101,86,51,51,101,91,81,53,96,70,101,67,21,21,76,81,81,31,61,41,6,6,16,31,81,36,6,4,1,11,91,71,51,91,21,42,4,11,21,51,21,41,51,91,31,36,47,76,51,56,61,101,11,16,31,91,31,37,70,91,101,101,51,51,91,91,23,93,101,31,1,1,1,1,1,1,1,1,1,1,1,3,5,3,96,97,65,27,26,27,91,92,94,44,44,44,21,51,81,101,101,101,31,41,86,89,92,83,6,11,31,91,91,91,1,51,61,91,91,91,1,1,21,71,72,75,13,14,26,67,69,74,101,101,52,6,6,6,76,91,61,26,28,28,1,41,11,52,81,51,71,31,101,33,34,45,15,8,1,101,51,87,88,90,19,27,26,47,48,50,1,95,94,93,94,92,19,45,51,52,58,50,1,1,6,9,14,8,43,40,37,14,17,13,8,7,6,3,2,6,8,7,6,3,4,6,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,2,1,3,96,101,21,10,54,62,73,142,99,193,152,58,70,91,92,115,41,1273,1,0,15,15,0,0,1
1012,1,22,1,1,1,3,6,16,61,82,12,20,65,84,92,77,75,34,73,66,80,71,101,96,89,80,92,86,86,80,52,50,1,6,82,14,87,11,21,29,29,28,96,31,1,11,1,11,96,68,68,21,31,21,2,2,4,6,2,3,4,21,3,5,6,10,3,4,5,31,2,4,8,100,2,3,11,100,101,52,1,101,1,1,1,1,101,1,1,1,1,1,2,1,2,2,2,1,1,1,3,4,92,6,1,1,1,1,91,41,36,7,4,2,51,11,1,2,1,17,61,41,27,19,16,17,1,1,1,44,49,1,1,1,1,41,50,1,1,51,1,5,1,1,1,47,13,13,10,14,10,60,1,6,1,16,50,72,42,22,38,21,19,35,1,31,79,73,1,51,77,73,73,7,51,60,62,32,101,81,101,44,65,21,16,35,35,44,1,1,1,16,31,16,1,1,1,22,32,11,1,1,1,1,1,1,1,1,1,16,22,21,8,1,1,1,1,2,8,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,4,4,4,4,2,2,2,1,2,1,1,3,3,2,74,66,5,11,54,39,61,142,100,434,1150,152,1638,175,38,166,11,1223,1,0,15,15,0,0,1
1013,1,22,1,1,1,5,51,66,96,101,66,87,95,101,58,74,52,66,58,63,68,50,73,52,71,64,61,70,67,63,50,76,63,72,85,27,83,44,35,38,68,69,72,25,53,30,11,17,53,80,71,69,58,63,1,1,1,22,10,10,11,33,13,18,25,34,18,30,37,47,26,31,35,58,24,36,52,61,83,101,78,84,88,86,10,14,94,94,1,1,1,1,1,1,1,1,1,2,1,2,4,4,60,12,17,10,5,30,80,77,81,63,61,65,66,52,50,37,83,51,86,79,67,82,84,38,66,56,64,65,55,60,52,53,47,61,75,75,72,55,58,57,43,75,69,55,55,68,71,76,35,33,11,66,69,40,78,91,67,94,95,64,66,72,59,74,73,59,50,74,63,48,55,57,58,45,56,59,53,69,64,61,71,69,36,61,88,72,75,55,68,68,66,63,68,60,52,60,69,71,74,59,64,68,61,62,74,71,64,72,77,77,5,4,5,5,5,4,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,4,2,2,4,2,3,1,1,2,1,1,1,4,2,37,65,23,14,22,32,79,55,61,64,44,16,21,23,53,58,18,583,1,0,15,15,0,0,1
1014,1,32,2,1,1,5,16,16,78,79,22,45,78,80,89,88,89,76,101,81,74,55,101,96,82,75,81,72,91,64,38,33,79,59,91,14,89,12,6,6,21,12,78,12,1,11,1,26,31,11,1,11,1,35,1,1,1,11,1,1,1,51,61,36,21,56,50,49,49,49,6,6,11,50,8,8,13,46,90,74,39,24,23,25,25,25,99,50,1,1,1,1,1,1,1,1,1,1,1,1,4,3,76,36,21,11,11,6,75,61,51,49,49,27,44,101,101,96,101,53,49,73,92,69,91,32,71,88,79,92,94,58,16,81,79,93,94,37,31,73,28,48,20,41,68,100,91,101,101,16,56,69,35,21,22,16,66,79,39,77,72,24,1,69,101,101,81,71,101,96,91,76,79,51,76,46,72,47,101,101,100,64,69,70,52,52,75,49,81,55,83,101,101,1,83,74,77,101,101,77,25,22,1,1,1,33,69,71,72,49,21,26,8,2,1,3,1,3,8,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,3,1,38,101,6,1,26,53,49,80,90,147,99,46,101,93,58,100,21,970,1,0,15,15,0,0,1
1015,1,29,2,1,1,7,35,17,8,44,57,65,75,86,97,82,97,93,44,65,94,93,91,90,74,84,75,80,90,93,94,89,70,88,80,30,82,83,56,65,60,60,24,75,48,74,32,74,80,73,72,82,79,29,2,5,5,7,8,13,22,53,8,37,67,89,65,75,80,83,69,79,83,95,88,91,94,96,101,8,12,5,101,21,54,67,8,28,1,1,1,1,2,1,2,2,1,2,2,3,4,2,13,68,66,68,42,70,46,63,71,75,82,94,54,58,61,64,68,77,82,68,82,82,83,83,79,79,84,101,80,80,68,77,76,75,79,82,75,63,80,79,72,101,85,86,85,91,94,84,85,76,49,77,41,74,74,73,74,78,84,92,77,91,92,88,89,83,87,91,94,95,84,94,93,91,91,93,91,92,94,96,93,61,76,88,74,54,91,80,90,94,82,94,93,88,85,97,88,92,90,85,88,83,82,86,82,86,91,83,90,90,5,3,2,2,2,2,2,3,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,3,3,3,3,4,4,3,3,4,3,3,2,4,2,85,91,21,25,53,45,51,75,58,64,66,31,39,52,70,128,40,818,1,0,15,15,0,0,1
1016,1,29,1,1,1,7,17,31,59,90,26,37,66,92,101,78,88,68,73,62,81,79,101,63,101,79,101,93,80,71,29,46,56,49,76,23,71,40,6,6,13,7,73,79,71,67,15,10,84,79,79,74,32,12,1,3,3,3,3,10,18,40,3,3,4,6,4,13,23,37,5,21,35,89,1,27,39,82,81,80,23,17,32,3,3,69,82,89,1,1,1,1,1,1,1,2,1,1,2,3,4,3,91,92,90,87,16,28,87,90,86,74,29,42,70,81,89,89,90,75,79,79,84,75,79,79,26,22,26,52,67,25,32,35,28,39,48,26,43,60,55,61,61,66,73,70,62,51,60,61,101,98,98,89,95,87,95,88,92,89,93,92,15,32,1,26,96,98,98,95,97,80,77,76,79,76,84,96,95,90,94,96,79,76,84,80,80,81,86,85,76,78,79,87,78,72,78,78,78,78,64,54,40,44,21,28,46,49,45,40,39,44,4,6,4,3,2,5,6,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,3,2,3,28,69,5,1,26,40,22,71,34,82,85,16,32,50,42,70,24,600,1,0,15,15,0,0,1
